,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
55,0.0,0.0,0.0,0.0,0.0,0.1142,0.0,0.0,0.0,0.0,0.0,0.3923,0.0,0.0,0.0,0.0,0.0,0.0,0.4935,0.0,47.09999847412109
56,0.6981999999999999,0.2563,0.0,0.0,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.00000000000001
57,0.6006,0.0,0.0,0.0,0.0997,0.0999,0.0,0.0996,0.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.99999999999997
58,0.814118588141186,0.1195880411958804,0.0145985401459854,0.0,0.0,0.0,0.0,0.0484951504849515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
59,0.69,0.06,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.30000305175781
60,0.45,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,64.15
61,0.6945694569456946,0.0911091109110911,0.1046104610461046,0.0,0.0991099109910991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106010601060106,0.0,0.0,0.0,0.0,71.9000015258789
62,0.0,0.6,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6999969482422
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,44.7
64,0.66,0.0,0.06,0.0559999999999999,0.0,0.0,0.06,0.011,0.0,0.02,0.088,0.0,0.0,0.0,0.0,0.036,0.0,0.009,0.0,0.0,89.0
65,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1999969482422
66,0.84,0.0,0.03,0.01,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
67,0.0,0.0,0.1002899710028997,0.0,0.0,0.0,0.1998800119988001,0.0,0.2997700229977003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000599940005999,0.0,53.0
68,0.3279,0.4643,0.0,0.0,0.0,0.0,0.0,0.2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65
69,0.0,0.64,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
70,0.6691999999999999,0.0237,0.1227999999999999,0.0244999999999999,0.0,0.0,0.0,0.1435999999999999,0.0139999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
71,0.6873687368736874,0.0782078207820782,0.1043104310431042,0.0,0.0578057805780578,0.0,0.0325032503250325,0.0,0.0,0.0398039803980398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
72,0.7001000000000001,0.0,0.0666,0.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,96.50000000000001
73,0.5579,0.0438,0.0837,0.0,0.0,0.008,0.1835999999999999,0.0983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247,0.0,0.0,91.0
74,0.6940000000000001,0.01,0.125,0.077,0.052,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
75,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,46.700000762939446
76,0.78,0.0,0.02,0.025,0.025,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.30000305175781
77,0.7289,0.0,0.0338,0.1784,0.0059,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
78,0.0,0.075,0.05,0.0,0.15,0.0,0.0,0.1009999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.0,58.58100000000003
79,0.64,0.0,0.05,0.04,0.13,0.0,0.015,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,89.19999694824219
80,0.6217875642487152,0.0138997220055598,0.2010959780804384,0.0890982180356393,0.0590988180236395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140997180056398,0.0,0.0,0.0,0.0,0.0,0.0,97.09999847412108
81,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19999694824219
82,0.7000000000000001,0.0,0.1,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.91999999999999
83,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,67.70000000000003
84,0.715,0.0,0.0,0.0,0.1009999999999999,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,77.80000305175781
85,0.0,0.76,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.80000305175783
86,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5999984741211
87,0.55,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.19999694824219
88,0.045,0.335,0.0315,0.0,0.0735,0.0,0.0,0.165,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.59999847412108
89,0.461,0.0,0.0,0.0,0.2689999999999999,0.0,0.0,0.061,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,66.09999847412111
